iter	Passed	Remaining
0	137	137231
1	140	70190
2	144	47947
3	148	36981
4	151	30117
5	154	25527
6	157	22383
7	160	19896
8	163	17963
9	165	16353
10	166	15009
11	168	13898
12	171	13040
13	173	12200
14	174	11478
15	176	10844
16	177	10268
17	178	9764
18	180	9305
19	181	8891
20	182	8516
21	184	8183
22	185	7879
23	186	7585
24	187	7318
25	188	7072
26	189	6834
27	190	6613
28	191	6411
29	192	6219
30	193	6040
31	194	5871
32	194	5713
33	195	5562
34	196	5423
35	197	5289
36	198	5172
37	199	5060
38	200	4947
39	201	4837
40	202	4735
41	203	4638
42	204	4544
43	204	4453
44	206	4373
45	206	4291
46	207	4211
47	208	4136
48	209	4064
49	210	3994
50	211	3928
51	211	3863
52	212	3804
53	214	3754
54	215	3701
55	216	3652
56	217	3597
57	218	3544
58	219	3494
59	219	3444
60	220	3396
61	221	3351
62	222	3308
63	223	3264
64	224	3224
65	225	3184
66	225	3144
67	226	3100
68	227	3063
69	228	3036
70	229	3004
71	230	2971
72	231	2940
73	232	2910
74	233	2880
75	234	2849
76	235	2819
77	235	2789
78	236	2760
79	237	2732
80	238	2704
81	239	2678
82	240	2652
83	240	2626
84	241	2598
85	242	2577
86	243	2555
87	244	2534
88	245	2511
89	246	2489
90	247	2467
91	247	2446
92	248	2425
93	249	2405
94	250	2385
95	251	2366
96	252	2347
97	252	2328
98	253	2309
99	254	2291
100	255	2273
101	255	2252
102	256	2237
103	258	2223
104	258	2207
105	259	2192
106	260	2176
107	261	2160
108	262	2144
109	263	2129
110	263	2114
111	264	2099
112	265	2084
113	266	2070
114	267	2056
115	267	2041
116	268	2029
117	269	2016
118	270	2001
119	271	1992
120	272	1982
121	273	1969
122	274	1954
123	274	1942
124	275	1930
125	276	1918
126	277	1908
127	278	1894
128	278	1883
129	279	1872
130	280	1862
131	281	1851
132	282	1840
133	283	1830
134	284	1820
135	284	1809
136	286	1801
137	287	1792
138	287	1783
139	288	1773
140	289	1764
141	290	1754
142	291	1744
143	291	1735
144	292	1726
145	293	1717
146	294	1708
147	295	1701
148	296	1692
149	297	1684
150	298	1675
151	298	1666
152	299	1658
153	300	1653
154	301	1645
155	302	1637
156	303	1630
157	304	1622
158	305	1614
159	306	1607
160	306	1599
161	307	1591
162	308	1584
163	309	1576
164	310	1569
165	310	1562
166	311	1555
167	312	1549
168	313	1542
169	316	1544
170	317	1539
171	318	1534
172	319	1528
173	320	1522
174	321	1515
175	322	1510
176	323	1504
177	324	1498
178	325	1492
179	326	1485
180	326	1477
181	327	1471
182	328	1468
183	332	1472
184	333	1469
185	335	1466
186	336	1463
187	338	1460
188	340	1461
189	342	1459
190	344	1457
191	345	1453
192	346	1448
193	347	1443
194	349	1442
195	350	1437
196	351	1432
197	352	1427
198	353	1421
199	354	1416
200	355	1411
201	356	1407
202	357	1402
203	360	1404
204	361	1400
205	361	1395
206	362	1390
207	363	1385
208	364	1380
209	365	1375
210	367	1372
211	368	1368
212	369	1363
213	370	1359
214	371	1355
215	372	1350
216	374	1350
217	375	1348
218	376	1344
219	377	1339
220	378	1335
221	379	1329
222	380	1325
223	381	1320
224	381	1315
225	382	1310
226	383	1306
227	384	1301
228	385	1297
229	386	1292
230	386	1288
231	388	1286
232	389	1282
233	390	1278
234	391	1274
235	392	1269
236	393	1265
237	394	1261
238	394	1257
239	395	1252
240	396	1248
241	397	1244
242	398	1240
243	398	1235
244	399	1231
245	400	1227
246	401	1223
247	402	1220
248	403	1217
249	404	1213
250	405	1209
251	406	1205
252	407	1201
253	407	1197
254	408	1194
255	409	1190
256	410	1186
257	411	1183
258	412	1179
259	413	1176
260	414	1172
261	414	1168
262	415	1164
263	417	1163
264	418	1160
265	419	1156
266	420	1153
267	421	1150
268	421	1146
269	422	1142
270	423	1139
271	424	1135
272	425	1132
273	425	1128
274	426	1125
275	427	1121
276	428	1118
277	429	1115
278	430	1112
279	431	1109
280	432	1106
281	433	1103
282	434	1100
283	435	1097
284	436	1094
285	437	1091
286	438	1090
287	439	1087
288	440	1084
289	442	1082
290	442	1079
291	443	1075
292	444	1072
293	445	1069
294	446	1067
295	447	1064
296	448	1061
297	449	1058
298	450	1055
299	450	1052
300	451	1049
301	452	1045
302	453	1042
303	454	1039
304	455	1036
305	455	1034
306	456	1031
307	457	1028
308	458	1025
309	459	1022
310	460	1019
311	460	1016
312	461	1013
313	462	1010
314	463	1007
315	464	1004
316	465	1002
317	466	999
318	466	996
319	467	993
320	468	990
321	469	988
322	470	985
323	470	982
324	471	979
325	472	977
326	473	974
327	474	971
328	475	969
329	476	966
330	476	963
331	477	961
332	478	958
333	479	955
334	480	953
